series,lag,acf
real,1,0.980846729537864
real,2,0.9404782960990323
real,3,0.8970107018893341
real,4,0.864272793287672
real,5,0.8392033234561603
real,6,0.8183088044682884
real,7,0.7997329030000959
real,8,0.7827569172754683
real,9,0.7679868116017006
real,10,0.7546517833975781
real,11,0.7424444739869355
real,12,0.7297781669370024
real,13,0.717873472534859
real,14,0.7068834441654841
real,15,0.6969490836022884
real,16,0.6870717028713496
real,17,0.677354897339725
real,18,0.6682694249429084
real,19,0.6593986418080063
real,20,0.6505143508959663
A,1,0.9229889428540022
A,2,0.8707792600406389
A,3,0.8277230122234253
A,4,0.7899318485327496
A,5,0.7568208069957852
A,6,0.7281829068632915
A,7,0.7015280877365111
A,8,0.676899158628071
A,9,0.6539931723561064
A,10,0.633219198454796
A,11,0.6142904585994464
A,12,0.5962495783536512
A,13,0.5797929303803981
A,14,0.5635378775075084
A,15,0.549035908475964
A,16,0.5346603351075906
A,17,0.5212764829675939
A,18,0.5086342133023057
A,19,0.4966145635745872
A,20,0.48583259228488146
C,1,0.9930357767081097
C,2,0.9892583045009797
C,3,0.9860847148837806
C,4,0.9829581842930188
C,5,0.9802249314235683
C,6,0.9776471524383133
C,7,0.974618301148252
C,8,0.9719607833662972
C,9,0.9692967801017431
C,10,0.9670971188465415
C,11,0.9643329721497754
C,12,0.9615454563198605
C,13,0.9590321574167169
C,14,0.9565835649059408
C,15,0.9533243187822555
C,16,0.9502917299375935
C,17,0.9476161940193278
C,18,0.9450496588429299
C,19,0.9423401833833612
C,20,0.9397436175733537
