contrast,metric,point,ci_low,ci_high,excludes_zero
B2 minus A,GR,9.278900077,5.255402852,13.43660994,True
B2 minus A,RHOB,0.04049219688,0.003155196821,0.0793514137,True
B2 minus A,NPHI ACF RMSE,-0.03556810707,-0.1002254301,0.03000664586,False
B-abs minus A,GR,1.214543663,-3.894580108,7.387155834,False
B-abs minus A,RHOB,0.02952807018,0.01395129885,0.05176474553,True
B-abs minus A,NPHI ACF RMSE,-0.02477543342,-0.06320091423,0.01512865624,False
B-linear minus B-abs,GR,10.70337809,5.995694782,15.1844913,True
B-linear minus B-abs,RHOB,0.01267173503,-0.009927010248,0.03591922224,False
B-linear minus B-abs,NPHI ACF RMSE,0.02467269707,-0.0009457232308,0.04965854102,False
C minus A,GR,1.673493582,-2.273706646,6.475255151,False
C minus A,RHOB,-0.1334495894,-0.2331295819,-0.04145556401,True
C minus A,NPHI ACF RMSE,0.0187480084,-0.1446897196,0.1783453063,False
