contrast,metric,point,ci_low,ci_high,excludes_zero
B2 minus A,GR,-2.963528121,-9.452652186,2.673334509,False
B2 minus A,RHOB,-0.0267666392,-0.05917490534,0.005905899329,False
B2 minus A,NPHI ACF RMSE,-0.03556810707,-0.1002254301,0.03000664586,False
B-abs minus A,GR,-4.321909481,-9.430615384,0.1925518858,False
B-abs minus A,RHOB,-0.01267549605,-0.04199966032,0.01029118312,False
B-abs minus A,NPHI ACF RMSE,-0.02477543342,-0.06320091423,0.01512865624,False
B-linear minus B-abs,GR,4.226528141,-4.621423618,11.91828711,False
B-linear minus B-abs,RHOB,0.02446312117,0.007077514534,0.04271007638,True
B-linear minus B-abs,NPHI ACF RMSE,0.02467269707,-0.0009457232308,0.04965854102,False
C minus A,GR,-2.369394729,-7.065429834,1.56529605,False
C minus A,RHOB,0.01555716255,-0.07037260524,0.1185449517,False
C minus A,NPHI ACF RMSE,0.0187480084,-0.1446897196,0.1783453063,False
