quantity,full_precision,single_rounded_4dp,v19_target,flagged_mismatch
1a_real_nphi_eqw,0.32808884339981725,0.3281,0.328089,False
1a_real_nphi_pooled,0.3373089305812659,0.3373,0.337309,False
1c_A,-0.04234970378594816,-0.0423,-0.0423,False
1c_B-linear,-0.06659196429823347,-0.0666,-0.0666,False
1c_B-abs,-0.03398159301993187,-0.034,-0.034,False
1c_B2,-0.04475730223845083,-0.0448,-0.0448,False
1c_C,0.033183125649056025,0.0332,0.0332,False
1e_B2 minus A_point,-0.002407598452502664,-0.0024,-0.0024,False
1e_B2 minus A_lo,-0.018815432047250273,-0.0188,-0.0188,False
1e_B2 minus A_hi,0.014035308272914299,0.014,0.014,False
1e_B-abs minus A_point,0.00836811076601629,0.0084,0.0084,False
1e_B-abs minus A_lo,-0.006374720752855313,-0.0064,-0.0064,False
1e_B-abs minus A_hi,0.02227480145384286,0.0223,0.0223,False
1e_B-linear minus B-abs_point,-0.032610371278301596,-0.0326,-0.0326,False
1e_B-linear minus B-abs_lo,-0.04695306705052196,-0.047,-0.047,False
1e_B-linear minus B-abs_hi,-0.018435578868976496,-0.0184,-0.0184,False
1e_C minus A_point,0.0755328294350042,0.0755,0.0755,False
1e_C minus A_lo,0.021449740722575706,0.0214,0.0214,False
1e_C minus A_hi,0.13116690157286087,0.1312,0.1312,False
